time,I,nv,c1,c2,ar,V_tot,kind,net_type
0,5.0,100,0.0,0.0,361,634,mean,static
0,0.0,100,0.0,0.0,64,62.844,std,static
1,10.31,100,135.875,135.875,361,634,mean,static
1,3.44,100,19.656,19.656,64,62.844,std,static
2,24.28,100,181.344,181.344,361,634,mean,static
2,7.99,100,21.069,21.069,64,62.844,std,static
3,44.75,100,199.469,199.469,361,634,mean,static
3,15.6,100,25.228,25.228,64,62.844,std,static
4,70.81,100,207.406,207.406,361,634,mean,static
4,26.58,100,32.095,32.095,64,62.844,std,static
5,99.16,100,214.906,214.906,361,634,mean,static
5,36.39,100,31.804,31.804,64,62.844,std,static
6,127.0,100,208.781,208.781,361,634,mean,static
6,43.36,100,36.656,36.656,64,62.844,std,static
7,151.72,100,207.344,207.344,361,634,mean,static
7,44.12,100,36.064,36.064,64,62.844,std,static
8,163.0,100,204.156,204.156,361,634,mean,static
8,40.7,100,36.48,36.48,64,62.844,std,static
9,169.06,100,205.844,205.844,361,634,mean,static
9,39.01,100,39.337,39.337,64,62.844,std,static
10,169.09,100,202.094,202.094,361,634,mean,static
10,36.12,100,34.153,34.153,64,62.844,std,static
11,164.25,100,197.438,197.438,361,634,mean,static
11,31.19,100,39.676,39.676,64,62.844,std,static
12,154.38,100,196.219,196.219,361,634,mean,static
12,28.22,100,36.614,36.614,64,62.844,std,static
13,143.25,100,197.031,197.031,361,634,mean,static
13,23.81,100,38.909,38.909,64,62.844,std,static
14,130.84,100,194.906,194.906,361,634,mean,static
14,21.56,100,38.326,38.326,64,62.844,std,static
15,117.19,100,191.75,191.75,361,634,mean,static
15,18.77,100,38.205,38.205,64,62.844,std,static
16,103.5,100,195.156,195.156,361,634,mean,static
16,15.66,100,39.204,39.204,64,62.844,std,static
17,92.12,100,195.625,195.625,361,634,mean,static
17,13.62,100,39.962,39.962,64,62.844,std,static
18,82.25,100,190.469,190.469,361,634,mean,static
18,12.08,100,37.214,37.214,64,62.844,std,static
19,72.16,100,192.031,192.031,361,634,mean,static
19,10.1,100,45.091,45.091,64,62.844,std,static
20,63.16,100,190.312,190.312,361,634,mean,static
20,8.66,100,42.903,42.903,64,62.844,std,static
21,54.56,100,191.281,191.281,361,634,mean,static
21,7.37,100,41.803,41.803,64,62.844,std,static
22,47.81,100,193.562,193.562,361,634,mean,static
22,6.72,100,41.14,41.14,64,62.844,std,static
23,41.59,100,188.719,188.719,361,634,mean,static
23,6.42,100,39.342,39.342,64,62.844,std,static
24,35.69,100,191.906,191.906,361,634,mean,static
24,5.0,100,42.023,42.023,64,62.844,std,static
25,30.94,100,187.688,187.688,361,634,mean,static
25,4.45,100,41.012,41.012,64,62.844,std,static
26,27.06,100,188.5,188.5,361,634,mean,static
26,4.58,100,40.937,40.937,64,62.844,std,static
27,23.75,100,193.812,193.812,361,634,mean,static
27,4.12,100,45.649,45.649,64,62.844,std,static
28,20.78,100,189.812,189.812,361,634,mean,static
28,3.36,100,38.757,38.757,64,62.844,std,static
29,17.94,100,191.281,191.281,361,634,mean,static
29,2.99,100,44.441,44.441,64,62.844,std,static
30,15.88,100,190.469,190.469,361,634,mean,static
30,2.47,100,45.525,45.525,64,62.844,std,static
31,13.81,100,193.75,193.75,361,634,mean,static
31,2.38,100,45.841,45.841,64,62.844,std,static
32,11.75,100,194.469,194.469,361,634,mean,static
32,2.69,100,44.242,44.242,64,62.844,std,static
33,10.06,100,191.469,191.469,361,634,mean,static
33,2.82,100,43.143,43.143,64,62.844,std,static
34,8.62,100,191.188,191.188,361,634,mean,static
34,2.87,100,46.214,46.214,64,62.844,std,static
35,7.28,100,192.312,192.312,361,634,mean,static
35,2.37,100,43.461,43.461,64,62.844,std,static
36,6.28,100,193.031,193.031,361,634,mean,static
36,2.45,100,42.537,42.537,64,62.844,std,static
37,5.53,100,190.0,190.0,361,634,mean,static
37,2.4,100,41.166,41.166,64,62.844,std,static
38,4.69,100,190.344,190.344,361,634,mean,static
38,2.11,100,42.755,42.755,64,62.844,std,static
39,3.97,100,191.969,191.969,361,634,mean,static
39,1.93,100,44.959,44.959,64,62.844,std,static
40,3.47,100,191.906,191.906,361,634,mean,static
40,1.5,100,43.128,43.128,64,62.844,std,static
41,2.91,100,192.438,192.438,361,634,mean,static
41,1.4,100,44.156,44.156,64,62.844,std,static
42,2.25,100,189.281,189.281,361,634,mean,static
42,1.39,100,44.398,44.398,64,62.844,std,static
0,5.0,100,0.0,0.0,342,645,mean,dynamic
0,0.0,100,0.0,0.0,56,55.061,std,dynamic
1,9.09,100,89.406,89.406,342,645,mean,dynamic
1,2.2,100,13.112,13.112,56,55.061,std,dynamic
2,15.72,100,118.531,118.531,342,645,mean,dynamic
2,4.74,100,14.975,14.975,56,55.061,std,dynamic
3,28.34,100,139.469,139.469,342,645,mean,dynamic
3,10.49,100,14.858,14.858,56,55.061,std,dynamic
4,44.47,100,151.188,151.188,342,645,mean,dynamic
4,18.67,100,17.08,17.08,56,55.061,std,dynamic
5,68.69,100,154.75,154.75,342,645,mean,dynamic
5,28.09,100,18.876,18.876,56,55.061,std,dynamic
6,93.56,100,155.219,155.219,342,645,mean,dynamic
6,35.63,100,18.263,18.263,56,55.061,std,dynamic
7,119.41,100,157.656,157.656,342,645,mean,dynamic
7,42.2,100,16.159,16.159,56,55.061,std,dynamic
8,139.25,100,156.406,156.406,342,645,mean,dynamic
8,42.78,100,14.817,14.817,56,55.061,std,dynamic
9,151.25,100,155.5,155.5,342,645,mean,dynamic
9,40.46,100,17.103,17.103,56,55.061,std,dynamic
10,154.88,100,157.812,157.812,342,645,mean,dynamic
10,36.88,100,19.6,19.6,56,55.061,std,dynamic
11,154.12,100,154.031,154.031,342,645,mean,dynamic
11,34.09,100,19.111,19.111,56,55.061,std,dynamic
12,148.5,100,149.469,149.469,342,645,mean,dynamic
12,28.83,100,19.018,19.018,56,55.061,std,dynamic
13,140.12,100,150.219,150.219,342,645,mean,dynamic
13,24.55,100,17.954,17.954,56,55.061,std,dynamic
14,131.56,100,148.906,148.906,342,645,mean,dynamic
14,20.16,100,19.784,19.784,56,55.061,std,dynamic
15,120.59,100,150.75,150.75,342,645,mean,dynamic
15,17.58,100,23.589,23.589,56,55.061,std,dynamic
16,109.22,100,148.031,148.031,342,645,mean,dynamic
16,15.4,100,20.678,20.678,56,55.061,std,dynamic
17,97.06,100,147.312,147.312,342,645,mean,dynamic
17,12.61,100,23.355,23.355,56,55.061,std,dynamic
18,86.22,100,144.125,144.125,342,645,mean,dynamic
18,12.45,100,20.313,20.313,56,55.061,std,dynamic
19,76.44,100,148.125,148.125,342,645,mean,dynamic
19,11.8,100,22.725,22.725,56,55.061,std,dynamic
20,67.56,100,144.281,144.281,342,645,mean,dynamic
20,10.68,100,24.086,24.086,56,55.061,std,dynamic
21,58.78,100,145.344,145.344,342,645,mean,dynamic
21,9.11,100,23.445,23.445,56,55.061,std,dynamic
22,52.12,100,144.438,144.438,342,645,mean,dynamic
