time,I,nv,c1,c2,ar,V_tot,kind,net_type
7,8.13,200,17.585,17.585,32,65.255,std,dynamic
8,11.97,200,210.562,210.562,47,825,mean,dynamic
8,9.75,200,17.491,17.491,32,65.255,std,dynamic
9,12.22,200,204.031,204.031,47,825,mean,dynamic
9,9.58,200,17.816,17.816,32,65.255,std,dynamic
10,13.0,200,198.25,198.25,47,825,mean,dynamic
10,10.89,200,16.049,16.049,32,65.255,std,dynamic
11,13.47,200,194.219,194.219,47,825,mean,dynamic
11,11.8,200,16.005,16.005,32,65.255,std,dynamic
12,13.91,200,182.25,182.25,47,825,mean,dynamic
12,12.44,200,11.803,11.803,32,65.255,std,dynamic
0,5.0,300,0.0,0.0,46,843,mean,static
0,0.0,300,0.0,0.0,29,107.723,std,static
1,5.34,300,282.75,282.75,46,843,mean,static
1,1.05,300,25.464,25.464,29,107.723,std,static
2,6.0,300,376.0,376.0,46,843,mean,static
2,2.52,300,27.632,27.632,29,107.723,std,static
3,7.84,300,415.219,415.219,46,843,mean,static
3,4.69,300,34.68,34.68,29,107.723,std,static
4,9.97,300,422.875,422.875,46,843,mean,static
4,7.37,300,28.505,28.505,29,107.723,std,static
5,11.16,300,420.312,420.312,46,843,mean,static
5,8.43,300,25.685,25.685,29,107.723,std,static
6,11.38,300,414.531,414.531,46,843,mean,static
6,8.95,300,26.958,26.958,29,107.723,std,static
7,12.34,300,387.562,387.562,46,843,mean,static
7,9.83,300,28.081,28.081,29,107.723,std,static
8,13.19,300,370.406,370.406,46,843,mean,static
8,10.65,300,27.68,27.68,29,107.723,std,static
9,13.38,300,347.25,347.25,46,843,mean,static
9,10.75,300,21.905,21.905,29,107.723,std,static
0,5.0,300,0.0,0.0,67,804,mean,dynamic
0,0.0,300,0.0,0.0,46,93.601,std,dynamic
1,5.16,300,173.375,173.375,67,804,mean,dynamic
1,1.3,300,22.063,22.063,46,93.601,std,dynamic
2,6.44,300,219.906,219.906,67,804,mean,dynamic
2,2.32,300,27.727,27.727,46,93.601,std,dynamic
3,7.59,300,251.375,251.375,67,804,mean,dynamic
3,3.84,300,24.796,24.796,46,93.601,std,dynamic
4,9.28,300,267.094,267.094,67,804,mean,dynamic
4,6.1,300,21.172,21.172,46,93.601,std,dynamic
5,11.06,300,266.375,266.375,67,804,mean,dynamic
5,7.84,300,20.727,20.727,46,93.601,std,dynamic
6,12.91,300,265.344,265.344,67,804,mean,dynamic
6,9.02,300,23.263,23.263,46,93.601,std,dynamic
7,14.47,300,255.188,255.188,67,804,mean,dynamic
7,10.35,300,20.542,20.542,46,93.601,std,dynamic
0,5.0,400,0.0,0.0,60,834,mean,static
0,0.0,400,0.0,0.0,40,134.684,std,static
1,5.38,400,305.812,305.812,60,834,mean,static
1,0.96,400,21.984,21.984,40,134.684,std,static
2,6.19,400,402.875,402.875,60,834,mean,static
2,2.31,400,29.228,29.228,40,134.684,std,static
3,7.66,400,453.656,453.656,60,834,mean,static
3,3.56,400,25.33,25.33,40,134.684,std,static
4,9.34,400,460.75,460.75,60,834,mean,static
4,5.45,400,25.864,25.864,40,134.684,std,static
0,5.0,400,0.0,0.0,74,799,mean,dynamic
0,0.0,400,0.0,0.0,42,64.175,std,dynamic
1,5.41,400,196.406,196.406,74,799,mean,dynamic
1,1.5,400,21.568,21.568,42,64.175,std,dynamic
2,6.31,400,250.281,250.281,74,799,mean,dynamic
2,2.35,400,16.715,16.715,42,64.175,std,dynamic
3,8.44,400,281.875,281.875,74,799,mean,dynamic
3,4.03,400,21.923,21.923,42,64.175,std,dynamic
4,9.88,400,296.594,296.594,74,799,mean,dynamic
4,5.22,400,20.626,20.626,42,64.175,std,dynamic
5,11.31,400,297.625,297.625,74,799,mean,dynamic
5,6.49,400,19.549,19.549,42,64.175,std,dynamic
6,13.56,400,295.219,295.219,74,799,mean,dynamic
6,8.03,400,19.849,19.849,42,64.175,std,dynamic
7,14.94,400,284.562,284.562,74,799,mean,dynamic
7,9.0,400,16.987,16.987,42,64.175,std,dynamic
8,16.66,400,283.719,283.719,74,799,mean,dynamic
8,10.42,400,17.995,17.995,42,64.175,std,dynamic
9,18.62,400,275.156,275.156,74,799,mean,dynamic
9,12.15,400,17.31,17.31,42,64.175,std,dynamic
10,20.66,400,263.438,263.438,74,799,mean,dynamic
10,13.73,400,19.458,19.458,42,64.175,std,dynamic
11,21.84,400,256.031,256.031,74,799,mean,dynamic
11,14.99,400,19.091,19.091,42,64.175,std,dynamic
12,23.38,400,243.938,243.938,74,799,mean,dynamic
12,15.71,400,18.49,18.49,42,64.175,std,dynamic
0,5.0,500,0.0,0.0,79,851,mean,static
0,0.0,500,0.0,0.0,49,64.496,std,static
1,5.5,500,323.188,323.188,79,851,mean,static
1,1.2,500,18.91,18.91,49,64.496,std,static
2,7.31,500,431.688,431.688,79,851,mean,static
2,2.8,500,25.612,25.612,49,64.496,std,static
3,9.66,500,480.969,480.969,79,851,mean,static
3,5.72,500,26.936,26.936,49,64.496,std,static
4,11.75,500,490.594,490.594,79,851,mean,static
4,7.89,500,25.709,25.709,49,64.496,std,static
5,13.75,500,489.094,489.094,79,851,mean,static
5,10.24,500,22.354,22.354,49,64.496,std,static
6,15.28,500,479.75,479.75,79,851,mean,static
6,12.18,500,27.036,27.036,49,64.496,std,static
7,16.97,500,465.75,465.75,79,851,mean,static
7,14.3,500,26.725,26.725,49,64.496,std,static
8,19.09,500,446.562,446.562,79,851,mean,static
8,15.72,500,25.575,25.575,49,64.496,std,static
9,20.88,500,423.25,423.25,79,851,mean,static
9,16.48,500,26.557,26.557,49,64.496,std,static
10,21.09,500,403.375,403.375,79,851,mean,static
10,16.69,500,28.188,28.188,49,64.496,std,static
11,21.88,500,382.25,382.25,79,851,mean,static
11,16.45,500,30.092,30.092,49,64.496,std,static
12,22.12,500,362.25,362.25,79,851,mean,static
12,16.95,500,30.374,30.374,49,64.496,std,static
13,22.56,500,343.812,343.812,79,851,mean,static
13,16.76,500,31.462,31.462,49,64.496,std,static
14,23.09,500,323.281,323.281,79,851,mean,static
14,16.79,500,29.604,29.604,49,64.496,std,static
0,5.0,500,0.0,0.0,102,772,mean,dynamic
0,0.0,500,0.0,0.0,60,79.082,std,dynamic
1,6.22,500,203.094,203.094,102,772,mean,dynamic
1,1.19,500,22.924,22.924,60,79.082,std,dynamic
2,7.53,500,255.062,255.062,102,772,mean,dynamic
2,2.57,500,17.801,17.801,60,79.082,std,dynamic
3,9.25,500,291.344,291.344,102,772,mean,dynamic
3,3.97,500,19.472,19.472,60,79.082,std,dynamic
4,11.12,500,307.281,307.281,102,772,mean,dynamic
4,5.47,500,18.409,18.409,60,79.082,std,dynamic
5,13.78,500,310.562,310.562,102,772,mean,dynamic
5,7.38,500,18.458,18.458,60,79.082,std,dynamic
6,16.91,500,307.406,307.406,102,772,mean,dynamic
6,10.15,500,18.927,18.927,60,79.082,std,dynamic
